bill_id,status,title,link_id,proposer_type,proposed_date,decision_date,decision_result,has_summaries,status_detail
2024502,gye,노인장기요양보험법 일부개정법률안(김상훈의원 등 11인),PRC_O2C0N0K1U1J0C1S1L2S4C1F3D6L9X3,의원,2020-01-10,,,1,접수
2024503,gye,국가재정법 일부개정법률안(김상훈의원 등 11인),PRC_B2F0L0D1T1P0A1B1W2U9Y2Y8N3A1G4,의원,2020-01-10,,,1,접수
2024504,gye,사립학교법 일부개정법률안,ARC_I2U0D0T1G1R0W1S4Z3Q5V4O5Z2W5E8,정부,2020-01-10,,,1,접수
2024505,gye,병역법 일부개정법률안(하태경의원 등 10인),PRC_H2Z0C0N1M1M0O1U4Z5O9R5S8M7I9P9,의원,2020-01-10,,,1,접수
2024506,gye,항만지역 등 대기질 개선에 관한 특별법 일부개정법률안(송희경의원 등 10인),PRC_H2P0I0Z1C1Z0M1E5Z1E9N1I2M8O1Z6,의원,2020-01-10,,,1,접수
2024507,gye,항만운송사업법 일부개정법률안(송희경의원 등 13인),PRC_E2T0Z0O1B1H0P1N5Y2B1F3V9G6N4W3,의원,2020-01-10,,,0,접수
2024508,gye,제대군인지원에 관한 법률 일부개정법률안(하태경의원 등 10인),PRC_O2A0T0B1U1P0R1P5T2N3D3X9U6H8H4,의원,2020-01-10,,,1,접수
2024509,gye,법무부장관(추미애) 탄핵소추안(심재철의원 등 108인),PRC_X2O0I0V1I1P0V1B5S3B6N1C3U5Z0Z8,의원,2020-01-10,,,0,본회의부의안건
2024510,gye,행정심판법 일부개정법률안(김정훈의원 등 10인),PRC_G2C0H0O1Q1Z0C1B7G2W1X1V1M1S5C7,의원,2020-01-10,,,1,접수
ZZ23945,gye,청와대와 법무부장관 추미애의 인사권 남용을 통한 수사방해 의혹 등에 대한 진상규명을 위한 국정조사 요구(심재철의원 등 108인),PRC_H2C0Z0G1O1C0N1T5M3Q9S5G5Y5P9S1,의원,2020-01-10,,,0,접수

2024502,gye,노인장기요양보험법 일부개정법률안(김상훈의원 등 11인),PRC_O2C0N0K1U1J0C1S1L2S4C1F3D6L9X3,의원,2020-01-10,,,1,접수
2024503,gye,국가재정법 일부개정법률안(김상훈의원 등 11인),PRC_B2F0L0D1T1P0A1B1W2U9Y2Y8N3A1G4,의원,2020-01-10,,,1,접수
2024504,gye,사립학교법 일부개정법률안,ARC_I2U0D0T1G1R0W1S4Z3Q5V4O5Z2W5E8,정부,2020-01-10,,,1,접수
2024505,gye,병역법 일부개정법률안(하태경의원 등 10인),PRC_H2Z0C0N1M1M0O1U4Z5O9R5S8M7I9P9,의원,2020-01-10,,,1,접수
2024506,gye,항만지역 등 대기질 개선에 관한 특별법 일부개정법률안(송희경의원 등 10인),PRC_H2P0I0Z1C1Z0M1E5Z1E9N1I2M8O1Z6,의원,2020-01-10,,,1,접수
2024507,gye,항만운송사업법 일부개정법률안(송희경의원 등 13인),PRC_E2T0Z0O1B1H0P1N5Y2B1F3V9G6N4W3,의원,2020-01-10,,,0,접수
2024508,gye,제대군인지원에 관한 법률 일부개정법률안(하태경의원 등 10인),PRC_O2A0T0B1U1P0R1P5T2N3D3X9U6H8H4,의원,2020-01-10,,,1,접수
2024509,gye,법무부장관(추미애) 탄핵소추안(심재철의원 등 108인),PRC_X2O0I0V1I1P0V1B5S3B6N1C3U5Z0Z8,의원,2020-01-10,,,0,본회의부의안건
2024510,gye,행정심판법 일부개정법률안(김정훈의원 등 10인),PRC_G2C0H0O1Q1Z0C1B7G2W1X1V1M1S5C7,의원,2020-01-10,,,1,접수
ZZ23945,gye,청와대와 법무부장관 추미애의 인사권 남용을 통한 수사방해 의혹 등에 대한 진상규명을 위한 국정조사 요구(심재철의원 등 108인),PRC_H2C0Z0G1O1C0N1T5M3Q9S5G5Y5P9S1,의원,2020-01-10,,,0,접수

2024502,gye,노인장기요양보험법 일부개정법률안(김상훈의원 등 11인),PRC_O2C0N0K1U1J0C1S1L2S4C1F3D6L9X3,의원,2020-01-10,,,1,접수
2024503,gye,국가재정법 일부개정법률안(김상훈의원 등 11인),PRC_B2F0L0D1T1P0A1B1W2U9Y2Y8N3A1G4,의원,2020-01-10,,,1,접수
2024504,gye,사립학교법 일부개정법률안,ARC_I2U0D0T1G1R0W1S4Z3Q5V4O5Z2W5E8,정부,2020-01-10,,,1,접수
2024505,gye,병역법 일부개정법률안(하태경의원 등 10인),PRC_H2Z0C0N1M1M0O1U4Z5O9R5S8M7I9P9,의원,2020-01-10,,,1,접수
2024506,gye,항만지역 등 대기질 개선에 관한 특별법 일부개정법률안(송희경의원 등 10인),PRC_H2P0I0Z1C1Z0M1E5Z1E9N1I2M8O1Z6,의원,2020-01-10,,,1,접수
2024507,gye,항만운송사업법 일부개정법률안(송희경의원 등 13인),PRC_E2T0Z0O1B1H0P1N5Y2B1F3V9G6N4W3,의원,2020-01-10,,,0,접수
